Provider ID,FRN,holding_company
130142,3744547,Rural Communications Holding Corporation
130074,3744562,"Arvig Enterprises, Inc."
130074,3744570,"Arvig Enterprises, Inc."
130142,3744596,Rural Communications Holding Corporation
131240,3745130,Spring Grove Communications
131344,3745700,Ridgeville Telephone Company
190275,3745767,Oak Run Associates Ltd.
300192,3745791,"USConnect Holdings, Inc."
130096,3745825,Barnes City Cooperative Telephone Company
130115,3745908,Benton Cooperative Telephone Company
130390,3745957,Danville Mutual Telephone Company
130906,3746013,"Nuvera Communications, Inc."
131448,3746088,"Wamego Telephone Company, Inc."
130039,3746898,"Allen's TV Cable Service, Inc."
131197,3746989,Sjoberg's Inc.
130503,3747672,"Flat Rock Telephone Co-Op, Inc."
130494,3747722,Farmers Mutual Telephone Company (MN)
130986,3748043,Oregon Telephone Corporation
130478,3748068,Farmers Mutual Cooperative Telephone Company-Moulton
130559,3748084,Grand Mound Cooperative Telephone Association
130626,3748167,Hubbard Cooperative Telephone Association
130709,3748191,La Motte Telephone Company
130878,3748258,"Mutual Telephone Company of Morning Sun, Iowa"
131089,3748266,Randolph Telephone Membership Corporation
130766,3748282,Lynnville Telephone Company
130803,3748340,Mechanicsville Telephone Company
130974,3748449,"Olin Telephone Company, Inc."
131003,3748506,Palmer Mutual Telephone Company
131006,3748514,Palo Cooperative Telephone Association
190233,3748522,"Hilliary Communications, LLC"
131071,3748589,Preston Telephone Company
240102,3749082,Jefferson County Cable
130484,3749108,Farmers Mutual Telephone Company-Nora Springs
240102,3749116,Jefferson County Cable
130421,3749215,Dunkerton Telephone Cooperative
